system:index,ID,aspect,elevation,fire_event_count,hillshade,last_fire,slope,system_ind,twi,.geo
00000000000000000026,39,356.7363305015168,383.8929443359375,1,183,2007,15.331109813761733,INT5,-17.08514214,"{""type"":""Point"",""coordinates"":[-118.76548109789891,34.47241396487834]}"
00000000000000000023,36,8.011665748569898,469.3861083984375,1,166,2007,34.479189108481535,INT2,-19.68726158,"{""type"":""Point"",""coordinates"":[-118.76477655993247,34.47105393905705]}"
00000000000000000022,35,13.898086280656896,454.0540771484375,1,157,2007,32.60596356725036,INT1,-19.68726158,"{""type"":""Point"",""coordinates"":[-118.76466508240613,34.47116541658338]}"
00000000000000000024,37,28.333713449780173,370.5519714355469,1,142,2007,26.28991079857868,INT3,-18.80788422,"{""type"":""Point"",""coordinates"":[-118.7613831840308,34.472382751170976]}"
00000000000000000001,2,144.82311356852492,405.13775634765625,1,145,2007,20.081441263872577,1.02,-19.00267601,"{""type"":""Point"",""coordinates"":[-118.7600722083211,34.51829365561725]}"
00000000000000000005,6,49.76403989,403.7726745605469,1,132,2007,20.399401062036436,1.07,-19.04930115,"{""type"":""Point"",""coordinates"":[-118.76054041393168,34.51681769316855]}"
00000000000000000003,4,44.520627414134445,390.8012390136719,1,125,2007,26.018926184609228,1.05,-17.76607895,"{""type"":""Point"",""coordinates"":[-118.76030408157585,34.51700943451385]}"
00000000000000000008,9,60.125869655282365,433.97308349609375,1,128,2007,19.720931536921725,1.1,-18.15080261,"{""type"":""Point"",""coordinates"":[-118.76190935795513,34.51768721787398]}"
0000000000000000000a,11,162.39044671448642,408.9271240234375,1,160,2007,22.16548786067948,1.12,-19.24158096,"{""type"":""Point"",""coordinates"":[-118.76029516337375,34.51833824662779]}"
00000000000000000007,8,75.8984344,385.4701232910156,1,108,2007,24.57935050329123,1.09,-18.73104858,"{""type"":""Point"",""coordinates"":[-118.75980466225788,34.51667054283379]}"
00000000000000000006,7,86.2812005,411.02215576171875,1,98,2007,27.10969005124369,1.08,-19.12451172,"{""type"":""Point"",""coordinates"":[-118.76111563796762,34.517392917204454]}"
0000000000000000000c,13,66.43159238322251,365.4266052246094,1,130,2007,17.621006174086197,1.14,-17.62848091,"{""type"":""Point"",""coordinates"":[-118.75915363350408,34.51652339249903]}"
00000000000000000009,10,155.76148623585337,383.4436340332031,1,157,2007,18.45904944946463,1.11,-18.68106079,"{""type"":""Point"",""coordinates"":[-118.759398884062,34.51799043674561]}"
00000000000000000004,5,54.46962006454303,384.3249816894531,1,118,2007,25.25244858112292,1.06,-18.26526642,"{""type"":""Point"",""coordinates"":[-118.7599562716937,34.51705848462544]}"
00000000000000000002,3,64.67786592,390.0639343261719,1,105,2007,27.428599666464383,1.04,-18.73104858,"{""type"":""Point"",""coordinates"":[-118.75993397618842,34.51678647946119]}"
00000000000000000000,1,144.82311356852492,405.13775634765625,1,145,2007,20.081441263872577,1.01,-19.17973328,"{""type"":""Point"",""coordinates"":[-118.76013017663477,34.51824014640461]}"
0000000000000000000b,12,171.13491973301848,376.64410400390625,1,169,2007,22.992276976248768,1.13,-18.29325676,"{""type"":""Point"",""coordinates"":[-118.75947914788098,34.517700595177146]}"
00000000000000000013,20,161.19916765068538,460.62921142578125,2,158,2003_2007,22.248607183251693,2.07,-18.17637253,"{""type"":""Point"",""coordinates"":[-118.76024611326214,34.49796015481353]}"
0000000000000000001e,31,137.02766829263263,475.76947021484375,2,146,2003_2007,16.09644777,2.18,-15.75069904,"{""type"":""Point"",""coordinates"":[-118.76229284064569,34.49687659325755]}"
00000000000000000020,33,58.580605336538646,432.0314025878906,2,160,2003_2007,7.514949479034293,2.2,-16.74480057,"{""type"":""Point"",""coordinates"":[-118.75954603439676,34.496176514392154]}"
00000000000000000010,17,135.21231729890698,472.6582336425781,2,147,2003_2007,15.264735736290415,2.04,-15.63721848,"{""type"":""Point"",""coordinates"":[-118.76207434469406,34.49679187033754]}"
0000000000000000001b,28,62.26221888765294,460.8553771972656,2,136,2003_2007,16.005564193159778,2.15,-20.00655746,"{""type"":""Point"",""coordinates"":[-118.76151249796135,34.496497569668]}"
00000000000000000011,18,137.02766829263263,475.76947021484375,2,146,2003_2007,16.09644777,2.05,-16.91172218,"{""type"":""Point"",""coordinates"":[-118.76227500424149,34.4969479388744]}"
0000000000000000001a,27,115.26228360518253,467.3361816,2,149,2003_2007,11.064652066332288,2.14,-15.63721848,"{""type"":""Point"",""coordinates"":[-118.76205650828987,34.49676511573121]}"
0000000000000000000e,15,94.31902163971947,451.56903076171875,2,143,2003_2007,11.94595405,2.02,-15.76402664,"{""type"":""Point"",""coordinates"":[-118.76123157459496,34.49692118426808]}"
00000000000000000016,23,160.55946683778714,468.57415771484375,2,152,2003_2007,28.044769050307103,2.1,-17.83466721,"{""type"":""Point"",""coordinates"":[-118.76091497842019,34.497732740659806]}"
00000000000000000017,24,160.6130943235317,477.46405029296875,2,150,2003_2007,30.073366325461393,2.11,-18.53600311,"{""type"":""Point"",""coordinates"":[-118.76067864606436,34.49813851885567]}"
0000000000000000001f,32,67.08238730215946,445.18341064453125,2,131,2003_2007,17.194580719246634,2.19,-18.15808105,"{""type"":""Point"",""coordinates"":[-118.76041555910219,34.49664026090171]}"
0000000000000000000f,16,5.210790699825806,448.03680419921875,2,178,2003_2007,7.350957342418644,2.03,-16.7841301,"{""type"":""Point"",""coordinates"":[-118.76085701010648,34.49676957483226]}"
00000000000000000018,25,160.4044832531902,472.6124572753906,2,153,2003_2007,26.49155750289447,2.12,-16.10066223,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49741168538396]}"
00000000000000000015,22,159.90269679653753,472.4145508,2,153,2003_2007,26.629505007452703,2.09,-17.95115852,"{""type"":""Point"",""coordinates"":[-118.7604423137085,34.49807609144092]}"
00000000000000000021,34,87.10111657787705,430.8741149902344,2,148,2003_2007,10.228555684016788,2.21,-16.66472054,"{""type"":""Point"",""coordinates"":[-118.75955495259889,34.49654216067854]}"
0000000000000000000d,14,51.55576043191291,449.1976623535156,2,160,2003_2007,8.260508393512659,2.01,-15.90743446,"{""type"":""Point"",""coordinates"":[-118.7609997013402,34.496760656630165]}"
00000000000000000014,21,166.7433210649627,467.0610352,2,163,2003_2007,24.382882841103754,2.08,-17.61892319,"{""type"":""Point"",""coordinates"":[-118.76070985977174,34.497915563803005]}"
00000000000000000012,19,46.523307070763494,453.4265441894531,2,164,2003_2007,6.976194776921619,2.06,-19.25292587,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}"
0000000000000000001d,30,46.523307070763494,453.4265441894531,2,164,2003_2007,6.976194776921619,2.17,-19.25292587,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}"
00000000000000000019,26,105.20664312932738,462.31158447265625,2,125,2003_2007,18.69351133653045,2.13,-16.79911041,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49713076201759]}"
0000000000000000001c,29,105.20664312932738,462.31158447265625,2,125,2003_2007,18.69351133653045,2.16,-16.79911041,"{""type"":""Point"",""coordinates"":[-118.76162843458877,34.49711738471443]}"
00000000000000000025,38,23.925303200452117,448.09039306640625,2,139,2003_2007,34.64219267,INT4,-19.10398865,"{""type"":""Point"",""coordinates"":[-118.76631049069486,34.470978134339134]}"