system:index,ID,aspect,elevation,hillshade,slope,site,system_ind,cluster,group_15,group_3,group_10,group_6,group_4,group_2,fire_history,southwestness,twi,.geo,long,lat
0,1,144.8231136,405.1377563,145,20.08144126,site_1,1.01,1,11,css,SALE+MAFA+ARCA+HIIN+Erodium_spp.,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2007,0.066225261,,"{""type"":""Point"",""coordinates"":[-118.76013017663477,34.51824014640461]}",-118.7601302,34.51824015
1,2,144.8231136,405.1377563,145,20.08144126,site_1,1.02,1,11,css,SALE+MAFA+ARCA+HIIN+Erodium_spp.,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2007,0.066225261,,"{""type"":""Point"",""coordinates"":[-118.7600722083211,34.51829365561725]}",-118.7600722,34.51829366
40,40,0,0,0,0,site_1,1.03,1,9,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2007,0,,0,0,0
2,3,64.67786592,390.0639343,105,27.42859967,site_1,1.04,2,6,css,SALE+MAFA+ARCA+STLE+CEME+Erodium_spp.,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,-0.994913031,,"{""type"":""Point"",""coordinates"":[-118.75993397618842,34.51678647946119]}",-118.759934,34.51678648
3,4,44.52062741,390.801239,125,26.01892618,site_1,1.05,2,3,css,SALE+MAFA+ARCA+STLE+CEME+BRDI,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,-0.161494649,,"{""type"":""Point"",""coordinates"":[-118.76030408157585,34.51700943451385]}",-118.7603041,34.51700943
4,5,54.46962006,384.3249817,118,25.25244858,site_1,1.06,2,6,css,SALE+MAFA+ARCA+STLE+CEME+Erodium_spp.,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,0.633771805,,"{""type"":""Point"",""coordinates"":[-118.7599562716937,34.51705848462544]}",-118.7599563,34.51705848
5,6,49.76403989,403.7726746,132,20.39940106,site_1,1.07,4,5,css,SALE+MAFA+ARCA+STLE+CEME+BRDI,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,0.769186942,,"{""type"":""Point"",""coordinates"":[-118.76054041393168,34.51681769316855]}",-118.7605404,34.51681769
6,7,86.2812005,411.0221558,98,27.10969005,site_1,1.08,4,5,css,SALE+MAFA+ARCA+STLE+CEME+BRDI,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,0.882933249,,"{""type"":""Point"",""coordinates"":[-118.76111563796762,34.517392917204454]}",-118.7611156,34.51739292
7,8,75.8984344,385.4701233,108,24.5793505,site_1,1.09,4,4,css,SALE+MAFA+ARCA+STLE+CEME+BRDI,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,-0.123767259,,"{""type"":""Point"",""coordinates"":[-118.75980466225788,34.51667054283379]}",-118.7598047,34.51667054
8,9,60.12586966,433.9730835,128,19.72093154,site_1,1.1,2,5,css,SALE+MAFA+ARCA+STLE+CEME+BRDI,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,0.059448896,,"{""type"":""Point"",""coordinates"":[-118.76190935795513,34.51768721787398]}",-118.7619094,34.51768722
9,10,155.7614862,383.443634,157,18.45904945,site_1,1.11,3,15,grass,PHHU+RARU,PHHU+RARU,PHHU,no HEAR,2007,0.992386595,,"{""type"":""Point"",""coordinates"":[-118.759398884062,34.51799043674561]}",-118.7593989,34.51799044
0000000000000000000a,11,162.3904467,408.927124,160,22.16548786,site_1,1.12,3,15,grass,PHHU+RARU,PHHU+RARU,PHHU,no HEAR,2007,0.975392988,,"{""type"":""Point"",""coordinates"":[-118.76029516337375,34.51833824662779]}",-118.7602952,34.51833825
0000000000000000000b,12,171.1349197,376.644104,169,22.99227698,site_1,1.13,2,6,css,SALE+MAFA+ARCA+STLE+CEME+Erodium_spp.,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,-0.896936321,,"{""type"":""Point"",""coordinates"":[-118.75947914788098,34.517700595177146]}",-118.7594791,34.5177006
0000000000000000000c,13,66.43159238,365.4266052,130,17.62100617,site_1,1.14,2,5,css,SALE+MAFA+ARCA+STLE+CEME+BRDI,SALE+MAFA+ARCA+STLE+CEME,SALE+MAFA+ARCA,no HEAR,2007,0.081929454,,"{""type"":""Point"",""coordinates"":[-118.75915363350408,34.51652339249903]}",-118.7591536,34.51652339
0000000000000000000d,14,51.55576043,449.1976624,160,8.260508394,site_2,2.01,1,11,css,SALE+MAFA+ARCA+HIIN+Erodium_spp.,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.792045631,,"{""type"":""Point"",""coordinates"":[-118.7609997013402,34.496760656630165]}",-118.7609997,34.49676066
0000000000000000000e,15,94.31902164,451.5690308,143,11.94595405,site_2,2.02,1,12,grass,PHHU,PHHU,PHHU,no HEAR,2003_2007,0.300181798,,"{""type"":""Point"",""coordinates"":[-118.76123157459496,34.49692118426808]}",-118.7612316,34.49692118
0000000000000000000f,16,5.2107907,448.0368042,178,7.350957342,site_2,2.03,1,11,css,SALE+MAFA+ARCA+HIIN+Erodium_spp.,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.992533545,,"{""type"":""Point"",""coordinates"":[-118.76085701010648,34.49676957483226]}",-118.760857,34.49676957
10,17,135.2123173,472.6582336,147,15.26473574,site_2,2.04,3,7,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.249624126,,"{""type"":""Point"",""coordinates"":[-118.76207434469406,34.49679187033754]}",-118.7620743,34.49679187
11,18,137.0276683,475.7694702,146,16.09644777,site_2,2.05,1,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.999970066,,"{""type"":""Point"",""coordinates"":[-118.76227500424149,34.4969479388744]}",-118.762275,34.49694794
12,19,46.52330707,453.4265442,164,6.976194777,site_2,2.06,3,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.828659156,,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}",-118.7608793,34.49641731
13,20,161.1991677,460.6292114,158,22.24860718,site_2,2.07,1,13,grass,PHHU+BRDI,PHHU,PHHU,no HEAR,2003_2007,0.566141216,,"{""type"":""Point"",""coordinates"":[-118.76024611326214,34.49796015481353]}",-118.7602461,34.49796015
14,21,166.7433211,467.0610352,163,24.38288284,site_2,2.08,1,13,grass,PHHU+BRDI,PHHU,PHHU,no HEAR,2003_2007,-0.136784671,,"{""type"":""Point"",""coordinates"":[-118.76070985977174,34.497915563803005]}",-118.7607099,34.49791556
15,22,159.9026968,472.4145508,153,26.62950501,site_2,2.09,1,13,grass,PHHU+BRDI,PHHU,PHHU,no HEAR,2003_2007,-0.640119505,,"{""type"":""Point"",""coordinates"":[-118.7604423137085,34.49807609144092]}",-118.7604423,34.49807609
16,23,160.5594668,468.5741577,152,28.04476905,site_2,2.1,3,9,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.037874703,,"{""type"":""Point"",""coordinates"":[-118.76091497842019,34.497732740659806]}",-118.760915,34.49773274
17,24,160.6130943,477.4640503,150,30.07336633,site_2,2.11,3,13,grass,PHHU+BRDI,PHHU,PHHU,no HEAR,2003_2007,0.015743072,,"{""type"":""Point"",""coordinates"":[-118.76067864606436,34.49813851885567]}",-118.7606786,34.49813852
18,25,160.4044833,472.6124573,153,26.4915575,site_2,2.12,3,14,grass,PHHU+ARCA,PHHU,PHHU,no HEAR,2003_2007,-0.191673863,,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49741168538396]}",-118.7616686,34.49741169
19,26,105.2066431,462.3115845,125,18.69351134,site_2,2.13,3,9,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.915986666,,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49713076201759]}",-118.7616686,34.49713076
0000000000000000001a,27,115.2622836,467.3361816,149,11.06465207,site_2,2.14,3,10,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.976326229,,"{""type"":""Point"",""coordinates"":[-118.76205650828987,34.49676511573121]}",-118.7620565,34.49676512
0000000000000000001b,28,62.26221889,460.8553772,136,16.00556419,site_2,2.15,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.810941544,,"{""type"":""Point"",""coordinates"":[-118.76151249796135,34.496497569668]}",-118.7615125,34.49649757
0000000000000000001c,29,105.2066431,462.3115845,125,18.69351134,site_2,2.16,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.915986666,,"{""type"":""Point"",""coordinates"":[-118.76162843458877,34.49711738471443]}",-118.7616284,34.49711738
0000000000000000001d,30,46.52330707,453.4265442,164,6.976194777,site_2,2.17,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.828659156,,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}",-118.7608793,34.49641731
0000000000000000001e,31,137.0276683,475.7694702,146,16.09644777,site_2,2.18,3,9,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.999970066,,"{""type"":""Point"",""coordinates"":[-118.76229284064569,34.49687659325755]}",-118.7622928,34.49687659
0000000000000000001f,32,67.0823873,445.1834106,131,17.19458072,site_2,2.19,2,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.668965629,,"{""type"":""Point"",""coordinates"":[-118.76041555910219,34.49664026090171]}",-118.7604156,34.49664026
20,33,58.58060534,432.0314026,160,7.514949479,site_2,2.2,4,8,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,-0.996388318,,"{""type"":""Point"",""coordinates"":[-118.75954603439676,34.496176514392154]}",-118.759546,34.49617651
21,34,87.10111658,430.874115,148,10.22855568,site_2,2.21,4,7,css,SALE+MAFA+ARCA+HIIN+BRHO+CEME,SALE+MAFA+ARCA+HIIN,SALE+MAFA+ARCA,no HEAR,2003_2007,0.945654978,,"{""type"":""Point"",""coordinates"":[-118.75955495259889,34.49654216067854]}",-118.759555,34.49654216
22,35,13.89808628,454.0540771,157,32.60596357,intct,INT1,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,-0.816654617,,"{""type"":""Point"",""coordinates"":[-118.76466508240613,34.47116541658338]}",-118.7646651,34.47116542
23,36,8.011665749,469.3861084,166,34.47918911,intct,INT2,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,-0.97623645,,"{""type"":""Point"",""coordinates"":[-118.76477655993247,34.47105393905705]}",-118.7647766,34.47105394
24,37,28.33371345,370.5519714,142,26.2899108,intct,INT3,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,-0.311475804,,"{""type"":""Point"",""coordinates"":[-118.7613831840308,34.472382751170976]}",-118.7613832,34.47238275
25,38,23.9253032,448.0903931,139,34.64219267,intct,INT4,5,1,chaparral,HEAR+CEOL,HEAR+CEOL,HEAR+CEOL,HEAR,2007,0.999918503,,"{""type"":""Point"",""coordinates"":[-118.76631049069486,34.470978134339134]}",-118.7663105,34.47097813
26,39,356.7363305,383.8929443,183,15.33110981,intct,INT5,5,2,chaparral,HEAR,HEAR,HEAR,HEAR,2007,0.977913825,,"{""type"":""Point"",""coordinates"":[-118.76548109789891,34.47241396487834]}",-118.7654811,34.47241396