standtype,site,rep,status,Lifeform,percentcover
degraded,deg1,1,total,total,1
degraded,deg1,1,Native,Native,0.463414634
degraded,deg1,1,Native,herb,0.097560976
degraded,deg1,1,Native,Shrub,0.390243902
degraded,deg1,1,Non-native,Non-native,1
degraded,deg1,1,Non-native,Grass,1
degraded,deg1,1,Non-native,herb,0.804878049
degraded,deg1,2,total,total,1
degraded,deg1,2,Native,Native,0.43902439
degraded,deg1,2,Native,herb,0.048780488
degraded,deg1,2,Native,Shrub,0.390243902
degraded,deg1,2,Non-native,Non-native,0.902439024
degraded,deg1,2,Non-native,Grass,0.902439024
degraded,deg1,2,Non-native,herb,0.609756098
degraded,deg1,3,total,total,1
degraded,deg1,3,Native,Native,0.195121951
degraded,deg1,3,Native,Shrub,0.195121951
degraded,deg1,3,Non-native,Non-native,0.975609756
degraded,deg1,3,Non-native,Grass,0.975609756
degraded,deg1,3,Non-native,herb,0.292682927
degraded,deg2,4,total,total,1
degraded,deg2,4,Native,Native,0.268292683
degraded,deg2,4,Native,Shrub,0.268292683
degraded,deg2,4,Non-native,Non-native,1
degraded,deg2,4,Non-native,Grass,0.975609756
degraded,deg2,4,Non-native,herb,0.341463415
degraded,deg2,5,total,total,1
degraded,deg2,5,Native,Native,0.219512195
degraded,deg2,5,Native,herb,0.024390244
degraded,deg2,5,Native,Shrub,0.219512195
degraded,deg2,5,Non-native,Non-native,1
degraded,deg2,5,Non-native,Grass,0.975609756
degraded,deg2,5,Non-native,herb,0.585365854
degraded,deg2,6,total,total,1
degraded,deg2,6,Native,Native,0.219512195
degraded,deg2,6,Native,Grass,0.048780488
degraded,deg2,6,Native,herb,0.048780488
degraded,deg2,6,Native,Shrub,0.170731707
degraded,deg2,6,Non-native,Non-native,0.926829268
degraded,deg2,6,Non-native,Grass,0.902439024
degraded,deg2,6,Non-native,herb,0.463414634
intact,intact1,1,total,total,1
intact,intact1,1,Native,Native,0.87804878
intact,intact1,1,Native,Fern,0.024390244
intact,intact1,1,Native,Grass,0.536585366
intact,intact1,1,Native,herb,0.048780488
intact,intact1,1,Native,Shrub,0.707317073
intact,intact1,1,Non-native,Non-native,0.268292683
intact,intact1,1,Non-native,Grass,0.243902439
intact,intact1,1,Non-native,herb,0.024390244
intact,intact2,2,total,total,1
intact,intact2,2,Native,Native,0.926829268
intact,intact2,2,Native,Grass,0.43902439
intact,intact2,2,Native,herb,0.146341463
intact,intact2,2,Native,Shrub,0.707317073
intact,intact2,2,Non-native,Non-native,0.073170732
intact,intact2,2,Non-native,Grass,0.073170732
intact,intact3,3,total,total,1
intact,intact3,3,Native,Native,0.951219512
intact,intact3,3,Native,Grass,0.731707317
intact,intact3,3,Native,Shrub,0.951219512
intact,intact3,3,Non-native,Non-native,0.12195122
intact,intact3,3,Non-native,Grass,0.12195122
intact,intact4,4,total,total,1
intact,intact4,4,Native,Native,0.926829268
intact,intact4,4,Native,herb,0.146341463
intact,intact4,4,Native,Shrub,0.853658537
intact,intact4,4,Non-native,Non-native,0.487804878
intact,intact4,4,Non-native,Grass,0.487804878
matrix,enh1,1,total,total,1
matrix,enh1,1,Native,Native,0.585365854
matrix,enh1,1,Native,Grass,0.024390244
matrix,enh1,1,Native,herb,0.12195122
matrix,enh1,1,Native,Shrub,0.536585366
matrix,enh1,1,Non-native,Non-native,0.853658537
matrix,enh1,1,Non-native,Grass,0.756097561
matrix,enh1,1,Non-native,herb,0.292682927
matrix,enh1,2,total,total,1
matrix,enh1,2,Native,Native,0.780487805
matrix,enh1,2,Native,Grass,0.317073171
matrix,enh1,2,Native,herb,0.146341463
matrix,enh1,2,Native,Shrub,0.585365854
matrix,enh1,2,Non-native,Non-native,0.780487805
matrix,enh1,2,Non-native,Grass,0.658536585
matrix,enh1,2,Non-native,herb,0.219512195
matrix,enh1,3,total,total,1
matrix,enh1,3,Native,Native,0.926829268
matrix,enh1,3,Native,Grass,0.170731707
matrix,enh1,3,Native,herb,0.097560976
matrix,enh1,3,Native,Shrub,0.804878049
matrix,enh1,3,Non-native,Non-native,0.682926829
matrix,enh1,3,Non-native,Grass,0.463414634
matrix,enh1,3,Non-native,herb,0.365853659
matrix,enh2,4,total,total,1
matrix,enh2,4,Native,Native,0.43902439
matrix,enh2,4,Native,herb,0.073170732
matrix,enh2,4,Native,Shrub,0.414634146
matrix,enh2,4,Non-native,Non-native,0.902439024
matrix,enh2,4,Non-native,Grass,0.87804878
matrix,enh2,4,Non-native,herb,0.024390244
matrix,enh2,5,total,total,1
matrix,enh2,5,Native,Native,0.317073171
matrix,enh2,5,Native,herb,0.024390244
matrix,enh2,5,Native,Shrub,0.292682927
matrix,enh2,5,Non-native,Non-native,0.853658537
matrix,enh2,5,Non-native,Grass,0.829268293
matrix,enh2,5,Non-native,herb,0.146341463
matrix,enh2,6,total,total,1
matrix,enh2,6,Native,Native,0.463414634
matrix,enh2,6,Native,Shrub,0.463414634
matrix,enh2,6,Non-native,Non-native,0.853658537
matrix,enh2,6,Non-native,Grass,0.829268293
matrix,enh2,6,Non-native,herb,0.024390244