,Acmispon glaber,Acmispon maritimus,Apiastrum angustifolium,Artemisia californica,Avena barbata,Avena barbata dead,Baccharis pilularis,Bromus diandrus,Bromus diandrus dead,Bromus hordeaceus,Bromus madritensis,Bromus rubens,Bromus rubens dead,Bromus spp.,Bromus spp. dead,Calochortus clavatus,Carduus pycnocephalus,Centaurea melitensis,Centaurea melitensis dead,Claytonia perfoliata,Dipterostemon capitatus,Elymus condensatus,Elymus condensatus dead,Eriodictyon crassifolium,Erodium cicutarium,Erodium spp.,Galium porrigens,Heteromeles arbutifolia,Heteromeles arbutifolia dead,Hirschfeldia incana,Hirschfeldia incana dead,Lupinus spp.,Malacothamnus fasciculatus,Malacothamnus fasciculatus dead,Marah macrocarpa,Pellaea andromedifolia,Pseudognaphalium luteoalbum,Rhamnus ilicifolia,Rhus ovata,Salvia leucophylla,Salvia leucophylla dead,Solanum xanti,Stephanomeria virgata,Stipa lepida,Stipa lepida dead
1,0,0,0,0,0,0,0,0.219512195,0,0,0,0,0,0,0.024390244,0,0.024390244,0,0,0,0,0.024390244,0,0,0,0,0.048780488,0.512195122,0.195121951,0,0,0,0,0,0,0.024390244,0,0,0,0.12195122,0,0,0,0.536585366,0.024390244
2,0,0,0.12195122,0.463414634,0,0,0,0,0,0,0,0.048780488,0.024390244,0,0,0,0,0,0,0,0.024390244,0.024390244,0.048780488,0,0,0,0.024390244,0.170731707,0.024390244,0,0,0,0,0,0,0,0,0.024390244,0.048780488,0.219512195,0.024390244,0,0,0.390243902,0
3,0,0,0,0.024390244,0,0,0,0,0,0.12195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487804878,0.048780488,0,0,0,0,0,0,0,0,0,0.341463415,0.317073171,0,0,0,0.731707317,0
4,0,0,0,0.024390244,0.317073171,0,0,0,0,0,0,0.463414634,0.024390244,0,0,0,0,0.170731707,0.024390244,0,0.12195122,0,0,0,0.024390244,0,0,0,0,0.195121951,0.024390244,0,0.243902439,0,0,0,0.024390244,0,0.097560976,0.292682927,0,0,0,0.024390244,0
5,0,0,0,0,0,0,0,0.024390244,0,0,0,0.609756098,0.048780488,0,0,0,0,0.195121951,0.024390244,0.024390244,0.048780488,0.170731707,0.048780488,0,0,0,0,0,0,0,0,0,0.536585366,0.048780488,0,0,0,0,0,0,0,0,0.073170732,0.12195122,0
6,0,0,0,0.097560976,0,0,0.024390244,0,0,0,0,0.463414634,0,0,0,0.024390244,0,0.292682927,0.048780488,0,0,0,0,0.024390244,0.024390244,0,0.024390244,0,0,0.024390244,0,0,0.512195122,0.146341463,0.024390244,0,0,0,0,0.365853659,0,0.024390244,0,0.170731707,0
7,0.024390244,0,0,0.024390244,0.219512195,0,0,0.512195122,0,0.195121951,0.097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0.024390244,0.317073171,0.073170732,0,0,0,0,0,0,0,0.024390244,0,0,0
8,0.024390244,0,0,0,0.585365854,0.12195122,0,0,0,0.048780488,0,0.12195122,0,0.097560976,0.024390244,0,0,0,0.073170732,0,0,0,0,0,0,0,0,0,0,0.048780488,0.024390244,0,0.170731707,0.048780488,0,0,0,0,0,0.097560976,0,0,0,0,0
9,0,0,0,0.048780488,0.268292683,0.146341463,0,0.365853659,0.048780488,0.219512195,0.024390244,0,0,0.048780488,0.024390244,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317073171,0.170731707,0,0,0,0,0,0.195121951,0,0,0,0,0
10,0,0.024390244,0,0.073170732,0.634146341,0,0,0,0,0,0,0.780487805,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0.024390244,0.048780488,0,0,0,0.780487805,0,0.048780488,0,0,0,0,0,0,0,0.341463415,0,0,0,0,0
11,0,0,0,0.048780488,0.658536585,0,0,0,0,0,0,0.585365854,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0.585365854,0.024390244,0.048780488,0,0,0,0,0,0,0,0.341463415,0,0,0,0,0
12,0,0,0,0.048780488,0.853658537,0,0,0.097560976,0,0,0,0.341463415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268292683,0.024390244,0,0,0.024390244,0,0,0,0,0,0.097560976,0.024390244,0,0,0,0
13,0,0,0,0,0.853658537,0.024390244,0,0.048780488,0.024390244,0,0,0.073170732,0.56097561,0,0,0,0,0,0,0,0,0,0,0,0.048780488,0,0,0,0,0.146341463,0.195121951,0,0.073170732,0.048780488,0,0,0,0,0,0.170731707,0,0,0,0,0
14,0,0,0,0,0.707317073,0.024390244,0,0,0,0,0,0.87804878,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0.170731707,0,0,0,0,0.365853659,0.219512195,0.024390244,0.195121951,0.024390244,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0.048780488,0.731707317,0,0,0.024390244,0,0,0,0.048780488,0.43902439,0,0,0,0,0,0,0,0.024390244,0.048780488,0,0,0.073170732,0,0,0,0,0.292682927,0.219512195,0.024390244,0.12195122,0,0,0,0,0,0,0,0,0,0,0,0