"","species_diversity","stand","site","soilcore","depth_name","subsample_cm3","subsample_g","treatment","rep","genus_abundance","lifeform","status","lifescycle","family","count","stand_core","stand_core_depth","stand_core_depth_treat","n_per_g","n_per_kg","stand_core_treat","standtype","native_shrub","nonnative_grass","n_per_g_log"
"1","Eriodictyon crassifolium","enhanced","ENH1","1","surface",350,347,"charate",1,"Eriodictyon crassifolium","shrub","native","perennial","Namaceae",2,"ENH1_1","ENH1_1_surface","ENH1_1_surface_charate",0.00576368876080692,5.76368876080692,"ENH1_1_charate","matrix",0.642276423,0.62601626,-5.15617759938691
"2","Eriodictyon crassifolium","enhanced","ENH1","1","surface",350,347,"ovenchar",1,"Eriodictyon crassifolium","shrub","native","perennial","Namaceae",2,"ENH1_1","ENH1_1_surface","ENH1_1_surface_ovenchar",0.00576368876080692,5.76368876080692,"ENH1_1_ovenchar","matrix",0.642276423,0.62601626,-5.15617759938691
"3","Eriodictyon crassifolium","enhanced","ENH1","4","surface",350,347,"oven",1,"Eriodictyon crassifolium","shrub","native","perennial","Namaceae",1,"ENH1_4","ENH1_4_surface","ENH1_4_surface_oven",0.00288184438040346,2.88184438040346,"ENH1_4_oven","matrix",0.642276423,0.62601626,-5.84932477994686
"4","Lactuca serriola","enhanced","ENH1","1","surface",350,347,"ovenchar",1,"Lactuca serriola","forb","nonnative","annual","Asteraceae",1,"ENH1_1","ENH1_1_surface","ENH1_1_surface_ovenchar",0.00288184438040346,2.88184438040346,"ENH1_1_ovenchar","matrix",0.642276423,0.62601626,-5.84932477994686
"5","Lactuca serriola","enhanced","ENH1","4","deep",350,347,"ovenchar",1,"Lactuca serriola","forb","nonnative","annual","Asteraceae",1,"ENH1_4","ENH1_4_deep","ENH1_4_deep_ovenchar",0.00288184438040346,2.88184438040346,"ENH1_4_ovenchar","matrix",0.642276423,0.62601626,-5.84932477994686
"6","Lactuca serriola","enhanced","ENH2","7","surface",350,347,"charate",1,"Lactuca serriola","forb","nonnative","annual","Asteraceae",1,"ENH2_7","ENH2_7_surface","ENH2_7_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_7_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"7","Trifolium willdenovii","enhanced","ENH2","7","surface",350,347,"charate",1,"Trifolium spp.","forb","native","annual","Fabaceae",1,"ENH2_7","ENH2_7_surface","ENH2_7_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_7_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"8","Trifolium willdenovii","enhanced","ENH2","8","deep",350,347,"ovenchar",1,"Trifolium spp.","forb","native","annual","Fabaceae",1,"ENH2_8","ENH2_8_deep","ENH2_8_deep_ovenchar",0.00288184438040346,2.88184438040346,"ENH2_8_ovenchar","matrix",0.390243902,0.845528455,-5.84932477994686
"9","Trifolium willdenovii","enhanced","ENH2","10","surface",350,347,"charate",1,"Trifolium spp.","forb","native","annual","Fabaceae",1,"ENH2_10","ENH2_10_surface","ENH2_10_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_10_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"10","Lupinus bicolor","enhanced","ENH2","9","surface",350,347,"charate",1,"Lupinus bicolor","forb","native","annual","Fabaceae",1,"ENH2_9","ENH2_9_surface","ENH2_9_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_9_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"11","Claytonia parviflora","intact","INT1","1","surface",150,164.0625,"charate",1,"Claytonia spp.","forb","native","annual","Montiaceae",1,"INT1_1","INT1_1_surface","INT1_1_surface_charate",0.0060952380952381,6.0952380952381,"INT1_1_charate","intact",0.707317073,0.243902439,-5.10024745278594
"12","Claytonia parviflora","intact","INT1","3","deep",340,371.875,"oven",1,"Claytonia spp.","forb","native","annual","Montiaceae",1,"INT1_3","INT1_3_deep","INT1_3_deep_oven",0.0026890756302521,2.6890756302521,"INT1_3_oven","intact",0.707317073,0.243902439,-5.9185577762999
"13","Claytonia parviflora","intact","INT3","7","surface",200,218.75,"oven",1,"Claytonia spp.","forb","native","annual","Montiaceae",1,"INT3_7","INT3_7_surface","INT3_7_surface_oven",0.00457142857142857,4.57142857142857,"INT3_7_oven","intact",0.951219512,0.12195122,-5.38792952523772
"14","Claytonia parviflora","intact","INT3","8","surface",150,164.0625,"ovenchar",1,"Claytonia spp.","forb","native","annual","Montiaceae",1,"INT3_8","INT3_8_surface","INT3_8_surface_ovenchar",0.0060952380952381,6.0952380952381,"INT3_8_ovenchar","intact",0.951219512,0.12195122,-5.10024745278594
"15","Unknown A - shrub","intact","INT1","1","surface",150,164.0625,"charate",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_1","INT1_1_surface","INT1_1_surface_charate",0.0060952380952381,6.0952380952381,"INT1_1_charate","intact",0.707317073,0.243902439,-5.10024745278594
"16","Unknown A - shrub","intact","INT1","1","surface",150,164.0625,"charate",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_1","INT1_1_surface","INT1_1_surface_charate",0.0060952380952381,6.0952380952381,"INT1_1_charate","intact",0.707317073,0.243902439,-5.10024745278594
"17","Unknown A - shrub","intact","INT1","1","surface",150,164.0625,"oven",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_1","INT1_1_surface","INT1_1_surface_oven",0.0060952380952381,6.0952380952381,"INT1_1_oven","intact",0.707317073,0.243902439,-5.10024745278594
"18","Unknown A - shrub","intact","INT1","1","surface",150,164.0625,"ovenchar",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_1","INT1_1_surface","INT1_1_surface_ovenchar",0.0060952380952381,6.0952380952381,"INT1_1_ovenchar","intact",0.707317073,0.243902439,-5.10024745278594
"19","Unknown A - shrub","intact","INT1","1","deep",340,371.875,"charate",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_1","INT1_1_deep","INT1_1_deep_charate",0.0026890756302521,2.6890756302521,"INT1_1_charate","intact",0.707317073,0.243902439,-5.9185577762999
"20","Unknown A - shrub","intact","INT1","3","surface",200,218.75,"charate",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_3","INT1_3_surface","INT1_3_surface_charate",0.00457142857142857,4.57142857142857,"INT1_3_charate","intact",0.707317073,0.243902439,-5.38792952523772
"21","Unknown A - shrub","intact","INT1","3","surface",200,218.75,"oven",1,"Unknown A - shrub","shrub","native","perennial","Asteraceae",1,"INT1_3","INT1_3_surface","INT1_3_surface_oven",0.00457142857142857,4.57142857142857,"INT1_3_oven","intact",0.707317073,0.243902439,-5.38792952523772
"22","Malacothrix saxatilis","intact","INT1","1","surface",150,164.0625,"ovenchar",1,"Malacothrix saxatilis","forb","native","perennial","Asteraceae",1,"INT1_1","INT1_1_surface","INT1_1_surface_ovenchar",0.0060952380952381,6.0952380952381,"INT1_1_ovenchar","intact",0.707317073,0.243902439,-5.10024745278594
"23","Malacothrix saxatilis","intact","INT2","5","surface",150,164.0625,"charate",1,"Malacothrix saxatilis","forb","native","perennial","Asteraceae",1,"INT2_5","INT2_5_surface","INT2_5_surface_charate",0.0060952380952381,6.0952380952381,"INT2_5_charate","intact",0.707317073,0.073170732,-5.10024745278594
"24","Malacothrix saxatilis","intact","INT2","6","deep",340,371.875,"oven",1,"Malacothrix saxatilis","forb","native","perennial","Asteraceae",1,"INT2_6","INT2_6_deep","INT2_6_deep_oven",0.0026890756302521,2.6890756302521,"INT2_6_oven","intact",0.707317073,0.073170732,-5.9185577762999
"25","Malacothrix saxatilis","intact","INT3","7","surface",200,218.75,"charate",1,"Malacothrix saxatilis","forb","native","perennial","Asteraceae",1,"INT3_7","INT3_7_surface","INT3_7_surface_charate",0.00457142857142857,4.57142857142857,"INT3_7_charate","intact",0.951219512,0.12195122,-5.38792952523772
"26","Malacothrix saxatilis","intact","INT3","9","surface",150,164.0625,"charate",1,"Malacothrix saxatilis","forb","native","perennial","Asteraceae",1,"INT3_9","INT3_9_surface","INT3_9_surface_charate",0.0060952380952381,6.0952380952381,"INT3_9_charate","intact",0.951219512,0.12195122,-5.10024745278594
"27","Malacothrix saxatilis","intact","INT3","9","surface",150,164.0625,"ovenchar",1,"Malacothrix saxatilis","forb","native","perennial","Asteraceae",1,"INT3_9","INT3_9_surface","INT3_9_surface_ovenchar",0.0060952380952381,6.0952380952381,"INT3_9_ovenchar","intact",0.951219512,0.12195122,-5.10024745278594
"28","Madia gracilis","intact","INT3","7","surface",200,218.75,"oven",1,"Madia gracilis","forb","native","annual","Asteraceae",1,"INT3_7","INT3_7_surface","INT3_7_surface_oven",0.00457142857142857,4.57142857142857,"INT3_7_oven","intact",0.951219512,0.12195122,-5.38792952523772
"29","Madia gracilis","intact","INT3","7","surface",200,218.75,"oven",1,"Madia gracilis","forb","native","annual","Asteraceae",1,"INT3_7","INT3_7_surface","INT3_7_surface_oven",0.00457142857142857,4.57142857142857,"INT3_7_oven","intact",0.951219512,0.12195122,-5.38792952523772
"30","Madia gracilis","intact","INT3","7","deep",340,371.875,"charate",1,"Madia gracilis","forb","native","annual","Asteraceae",1,"INT3_7","INT3_7_deep","INT3_7_deep_charate",0.0026890756302521,2.6890756302521,"INT3_7_charate","intact",0.951219512,0.12195122,-5.9185577762999
"31","Madia gracilis","intact","INT3","7","deep",340,371.875,"charate",1,"Madia gracilis","forb","native","annual","Asteraceae",1,"INT3_7","INT3_7_deep","INT3_7_deep_charate",0.0026890756302521,2.6890756302521,"INT3_7_charate","intact",0.951219512,0.12195122,-5.9185577762999
"32","Madia gracilis","intact","INT3","7","deep",340,371.875,"ovenchar",1,"Madia gracilis","forb","native","annual","Asteraceae",1,"INT3_7","INT3_7_deep","INT3_7_deep_ovenchar",0.0026890756302521,2.6890756302521,"INT3_7_ovenchar","intact",0.951219512,0.12195122,-5.9185577762999
"33","Madia gracilis","intact","INT3","7","deep",340,371.875,"ovenchar",1,"Madia gracilis","forb","native","annual","Asteraceae",1,"INT3_7","INT3_7_deep","INT3_7_deep_ovenchar",0.0026890756302521,2.6890756302521,"INT3_7_ovenchar","intact",0.951219512,0.12195122,-5.9185577762999
"34","Diplacus aurantiacus","enhanced","ENH1","1","surface",350,347,"oven",1,"Diplacus aurantiacus","shrub","native","perennial","Phrymaceae",1,"ENH1_1","ENH1_1_surface","ENH1_1_surface_oven",0.00288184438040346,2.88184438040346,"ENH1_1_oven","matrix",0.642276423,0.62601626,-5.84932477994686
"35","Unknown D - brown dicot","enhanced","ENH2","6","surface",350,347,"oven",1,"Unknown Phrymaceae  ","shrub","native","perennial","Phrymaceae",1,"ENH2_6","ENH2_6_surface","ENH2_6_surface_oven",0.00288184438040346,2.88184438040346,"ENH2_6_oven","matrix",0.390243902,0.845528455,-5.84932477994686
"36","Unknown E - plastic plant","enhanced","ENH2","8","deep",350,347,"oven",1,"Unknown Asteraceae","forb","native","unknown","Asteraceae",1,"ENH2_8","ENH2_8_deep","ENH2_8_deep_oven",0.00288184438040346,2.88184438040346,"ENH2_8_oven","matrix",0.390243902,0.845528455,-5.84932477994686
"37","Unknown G - fuzzy leaf dicot","enhanced","ENH2","8","deep",350,347,"oven",1,"Unknown G - fuzzy leaf dicot","forb","unknown","unknown","unknown",1,"ENH2_8","ENH2_8_deep","ENH2_8_deep_oven",0.00288184438040346,2.88184438040346,"ENH2_8_oven","matrix",0.390243902,0.845528455,-5.84932477994686
"38","Phacelia spp.","enhanced","ENH1","4","deep",350,347,"ovenchar",1,"Phacelia spp.","forb","native","annual","Hydrophyllaceae",1,"ENH1_4","ENH1_4_deep","ENH1_4_deep_ovenchar",0.00288184438040346,2.88184438040346,"ENH1_4_ovenchar","matrix",0.642276423,0.62601626,-5.84932477994686
"39","Phacelia spp.","enhanced","ENH2","9","surface",350,347,"oven",1,"Phacelia spp.","forb","native","annual","Hydrophyllaceae",2,"ENH2_9","ENH2_9_surface","ENH2_9_surface_oven",0.00576368876080692,5.76368876080692,"ENH2_9_oven","matrix",0.390243902,0.845528455,-5.15617759938691
"40","Ceanothus oliganthus","intact","INT2","6","surface",200,218.75,"oven",1,"Ceanothus oliganthus","shrub","native","perennial","Rhamnaceae",1,"INT2_6","INT2_6_surface","INT2_6_surface_oven",0.00457142857142857,4.57142857142857,"INT2_6_oven","intact",0.707317073,0.073170732,-5.38792952523772
"41","Unknown C - bright green seedling, small leaves","enhanced","ENH2","6","surface",350,347,"ovenchar",1,"Unknown Onagraceae","forb","native","annual","Onagraceae",1,"ENH2_6","ENH2_6_surface","ENH2_6_surface_ovenchar",0.00288184438040346,2.88184438040346,"ENH2_6_ovenchar","matrix",0.390243902,0.845528455,-5.84932477994686
"42","Carduus pycnocephalus","intact","INT2","6","surface",200,218.75,"ovenchar",1,"Carduus pycnocephalus","forb","nonnative","annual","Asteraceae",1,"INT2_6","INT2_6_surface","INT2_6_surface_ovenchar",0.00457142857142857,4.57142857142857,"INT2_6_ovenchar","intact",0.707317073,0.073170732,-5.38792952523772
"43","Phacelia tanacetifolia","intact","INT2","6","surface",200,218.75,"ovenchar",1,"Phacelia spp.","forb","native","annual","Hydrophyllaceae",1,"INT2_6","INT2_6_surface","INT2_6_surface_ovenchar",0.00457142857142857,4.57142857142857,"INT2_6_ovenchar","intact",0.707317073,0.073170732,-5.38792952523772
"44","Phacelia tanacetifolia","intact","INT2","6","deep",340,371.875,"ovenchar",1,"Phacelia spp.","forb","native","annual","Hydrophyllaceae",2,"INT2_6","INT2_6_deep","INT2_6_deep_ovenchar",0.0053781512605042,5.3781512605042,"INT2_6_ovenchar","intact",0.707317073,0.073170732,-5.22541059573995
